source,target,count
collaborateur·rice,éditeur·rice,2
essayiste,gourou,1
romancier·ère,poète·sse,1
commis·e,voyageur·euse,2
auteur·rice,illustrateur·rice,1
lecteur·rice,écrivain·e,1
lecteur·rice,chroniqueur·euse,2
lecteur·rice,stagiaire,1
geek,écrivain·e,2
dessinateur·rice,auteur·rice,1
lecteur·rice,lecteur·rice,1
auteur·rice,correcteur·rice,1
éditeur·rice,marchand·e,1
apprenti·e,auteur·rice,1
personnage,bourreau,1
auteur·rice,artiste,2
enseignant·e,chercheur·euse,4
biographe,correcteur·rice,1
éditeur·rice,chef·fe,2
réviseur·euse,correcteur·rice,1
vendeur·euse,créateur·rice,1
psychologue,rhéteur,2
historien·ne,historien·ne,1
marchand·e,esthétique,1
auteur·rice,auteur·rice,1
diffuseur·euse,distributeur·rice,30
éditeur·rice,employer,2
auteur·rice,entrepreneur·euse,1
auteur·rice,éditeur·rice,31
étudiant·e,veilleur·euse,1
explorateur·rice,artiste,1
écrivain·e,voyageur·euse,3
lecteur·rice,expert·e,2
correcteur·rice,auteur·rice,1
parolier·ère,interprète,1
éditeur·rice,imprimeur·euse,1
étudiant·e,professeur·e,2
narrateur·rice,avocat·e,1
relecteur·rice,correcteur·rice,4
relecteur·rice,typographe,1
acheteur·euse,lecteur·rice,2
artiste,amuseur·euse,1
professeur·e,documentaliste,1
apprenti·e,écrivain·e,6
lecteur·rice,payeur·euse,1
prince·sse,thérapeute,1
personnage,auteur·rice,1
auteur·rice,créateur·rice,1
narrateur·rice,acteur·rice,5
professeur·e,éditeur·rice,1
auteur·rice,compositeur·rice,3
personnage,conseiller·ère,3
gamer,écrivain·e,1
distributeur·rice,diffuseur·euse,8
travailleur·euse,propriétaire,1
scientifique,scientifique,3
auteur·rice,traducteur·rice,1
spectateur·rice,lecteur·rice,2
libraire,éditeur·rice,4
collègue,lecteur·rice,1
libraire,diffuseur·euse,3
personnage,joueur·euse,1
amateur·rice,écrivain·e,1
auteur·rice,photographe,1
client·e,lecteur·rice,1
personnage,narrateur·rice,3
auteur·rice,lecteur·rice,5
artiste,peintre,2
linguiste,historien·ne,2
observateur·rice,correcteur·rice,1
lecteur·rice,sélectionneur·euse,1
auteur·rice,contributeur·rice,1
écrivain·e,geek,2
artiste,auteur·rice,152
destinataire,auteur·rice,1
narrateur·rice,contemplateur·rice,1
menuisier·ère,ébéniste,1
auteur·rice,participatif·ve,1
correcteur·rice,relecteur·rice,4
apprenti·e,écrivaillon,3
prince·sse,poète·sse,1
éditeur·rice,courtier·ère,2
auteur·rice,propriétaire,3
propriétaire,titulaire,1
écrivain·e,formateur·rice,2
auteur·rice,interprète,1
écrivain·e,entrepreneur·euse,1
copine,lecteur·rice,1
cuisinier·ère,physicien·ne,1
rédac,chef·fe,1
illustrateur·rice,auteur·rice,1
lecteur·rice,auteur·rice,2
écrivain·e,éditeur·rice,2
lecteur·rice,récepteur·rice,2
éditeur·rice,lecteur·rice,2
poète·sse,brigand,2
artiste,tatoueur·euse,2
lecteur·rice,acheteur·euse,4
apprenti·e,éclaireur·euse,1
narrateur·rice,personnage,7
éditeur·rice,distributeur·rice,1
créateur·rice,consommateur·rice,1
éditeur·rice,auteur·rice,4
traducteur·rice,narrateur·rice,1
apprenti·e,bricoleur·euse,1
bouquiniste,éditeur·rice,1
écrivain·e,lecteur·rice,1
auteur·rice,scénariste,1
blogueur·euse,auteur·rice,1
poète·sse,poète·sse,1
lecteur·rice,correcteur·rice,1
auteur·rice,narrateur·rice,2
linguiste,informaticien·ne,1
marchand·e,voyageur·euse,1
auteure,éditeur·rice,1
philosophe,citoyen·ne,1
policier·ère,poète·sse,1
écrivants,auteur·rice,2
